day;nykoi;nykoic;nytn;nytnc;nyfcl;nyfclc;nydecl;nydeclc;szkoi;szkoic;szam;szamc;szhom;szhomc;
2019.02.01;9926;10500;437;400;0;130;0;20;131;75;349;50;39.6;40;
2019.02.02;10311.6666666667;10500;426;400;0;130;0;20;144.666666666667;75;337.666666666667;50;40.4;40;
2019.02.03;10697.3333333333;10500;415;400;167;130;122;20;158.333333333333;75;326.333333333333;50;41.8;40;
2019.02.04;11083;10500;404;400;0;130;0;20;172;75;315;50;42;40;
2019.02.05;10046;10500;386;400;0;130;0;20;171;75;330;50;41.1;40;
2019.02.06;9009;10500;368;400;156;130;114;20;170;75;345;50;39.3;40;
2019.02.07;8720.5;10500;349;400;197;130;150;20;221;75;307.9;50;37.9;40;
2019.02.08;8432;10500;330;400;0;130;0;20;272;75;270.8;50;37.1;40;
2019.02.09;9103;10500;322;400;0;130;0;20;226;75;326;50;36.7;40;
2019.02.10;10419;10500;336;400;0;130;0;20;198;75;335;50;37.4;40;
2019.02.11;10136;10500;364;400;0;130;0;20;185;75;337;50;38.4;40;
2019.02.12;9887;10500;374;400;227;130;172;20;182;75;379;50;39.1;40;
2019.02.13;10530;10500;465;400;176;130;112;20;234;75;350;50;39.2;40;
2019.02.14;10636;10500;304;400;158;130;107;20;136;75;344;50;40.1;40;
2019.02.15;8790;10500;462;400;0;130;0;20;260;75;381;50;40.7;40;
2019.02.16;8344;10500;387;400;0;130;0;20;192;75;348;50;40;40;
2019.02.17;10055;10500;385;400;0;130;0;20;201;75;349;50;39.9;40;
2019.02.18;10598;10500;435;400;155;130;85;20;226;75;356;50;40.7;40;
2019.02.19;10140;10500;350;400;58.3;130;74.1;20;204;75;350;50;41.5;40;
2019.02.20;10368;10500;424;400;103;130;61.6;20;276;75;379;50;41.5;40;
2019.02.21;10209;10500;403;400;157;130;72;20;205;75;351;50;41.2;40;
2019.02.22;9531;10500;489;400;105;130;21.1;20;217;75;376;50;40.9;40;
2019.02.23;10055;10500;428;400;0;130;0;20;201;75;356;50;40.6;40;
2019.02.24;10283;10500;412;400;0;130;0;20;203;75;353;50;40.4;40;
2019.02.25;10720;10500;418;400;0;130;0;20;198;75;349;50;40.4;40;
2019.02.26;11142;10500;488;400;0;130;0;20;188;75;347;50;40.9;40;
2019.02.27;0;10500;0;400;0;130;0;20;0;75;0;50;0;40;
2019.02.28;0;10500;0;400;0;130;0;20;0;75;0;50;0;40;
2019.03.01;0;10500;0;400;0;130;0;20;0;75;0;50;0;40;
